60000	229444
0	6353	12
0	1	6000000
0	6309	75
2	1	6000000
2	3	6000000
2	4	161
2	7	130
3	2	6000000
3	4	6000000
3	309	22
4	273	17
4	2	161
4	274	73
4	3	6000000
4	388	67
4	5	6000000
5	4	6000000
5	6	6000000
5	8	56
5	9	42
6	305	61
6	309	178
6	5	6000000
6	310	11
6	7	6000000
7	16	167
7	2	130
7	6	6000000
7	8	6000000
7	3998	74
8	5	56
8	7	6000000
8	9	6000000
9	10464	80
9	5	42
9	8	6000000
9	10	6000000
9	12	100
10	22	15
10	9	6000000
10	11	6000000
10	77	198
11	10	6000000
11	44	60
11	12	6000000
12	9	100
12	11	6000000
12	13	6000000
12	14	152
14	20	54
14	12	152
14	13	6000000
14	15	6000000
15	16	6000000
15	310	121
15	312	148
15	14	6000000
16	17	6000000
16	18	18
16	7	167
16	15	6000000
18	16	18
18	17	6000000
18	19	6000000
18	24	74
18	266	10
19	18	6000000
19	20	6000000
19	21	148
19	23	105
19	25	118
20	19	6000000
20	21	6000000
20	24	132
20	312	166
20	14	54
21	19	148
21	20	6000000
21	22	6000000
22	69	118
22	21	6000000
22	23	6000000
22	10	15
22	58	16
22	44	129
23	19	105
23	38	114
23	22	6000000
23	24	6000000
24	18	74
24	20	132
24	23	6000000
24	25	6000000
24	303	177
25	19	118
25	24	6000000
25	26	6000000
25	29	46
26	37	13
26	312	119
26	25	6000000
26	27	6000000
27	26	6000000
27	28	6000000
27	29	38
27	30	46
29	25	46
29	314	56
29	27	38
29	28	6000000
29	30	6000000
30	32	129
30	27	46
30	29	6000000
30	31	6000000
32	33	6000000
32	34	156
32	30	129
32	31	6000000
34	32	156
34	33	6000000
34	35	6000000
34	36	46
36	34	46
36	35	6000000
36	37	6000000
36	40	41
36	313	50
37	36	6000000
37	38	6000000
37	313	17
37	26	13
38	52	118
38	37	6000000
38	23	114
38	39	6000000
39	38	6000000
39	40	6000000
39	4027	101
39	317	140
39	303	53
40	67	100
40	36	41
40	39	6000000
40	41	6000000
40	45	35
41	40	6000000
41	57	34
41	42	6000000
41	43	71
42	279	88
42	8841	40
42	41	6000000
42	43	6000000
43	41	71
43	42	6000000
43	44	6000000
44	51	183
44	22	129
44	11	60
44	43	6000000
44	45	6000000
45	275	144
45	279	166
45	40	35
45	44	6000000
45	46	6000000
46	56	164
46	59	139
46	45	6000000
46	47	6000000
47	48	6000000
47	55	24
47	60	75
47	46	6000000
48	49	6000000
48	277	163
48	54	154
48	63	60
48	47	6000000
49	48	6000000
49	50	6000000
49	55	154
50	49	6000000
50	51	6000000
50	58	117
50	61	16
51	50	6000000
51	52	6000000
51	44	183
52	51	6000000
52	132	40
52	53	6000000
52	38	118
52	71	73
53	52	6000000
53	277	50
53	278	90
53	54	6000000
53	279	13
54	48	154
54	53	6000000
54	55	6000000
54	60	162
54	62	180
55	49	154
55	54	6000000
55	56	6000000
55	47	24
56	65	6
56	55	6000000
56	57	6000000
56	46	164
57	64	98
57	56	6000000
57	41	34
57	58	6000000
57	75	134
58	50	117
58	22	16
58	70	45
58	57	6000000
58	59	6000000
59	65	88
59	68	15
59	58	6000000
59	60	6000000
59	46	139
60	54	162
60	59	6000000
60	61	6000000
60	47	75
61	81	82
61	50	16
61	70	21
61	60	6000000
61	62	6000000
62	68	107
62	54	180
62	61	6000000
62	63	6000000
63	48	60
63	64	6000000
63	62	6000000
64	80	157
64	65	6000000
64	66	51
64	57	98
64	63	6000000
65	64	6000000
65	66	6000000
65	56	6
65	59	88
65	75	82
