40000	154594
0	6353	145
0	1	4000000
0	6309	150
2	1	4000000
2	3	4000000
2	4	92
2	7	60
3	2	4000000
3	4	4000000
3	309	9
4	273	182
4	2	92
4	274	83
4	3	4000000
4	388	60
4	5	4000000
5	4	4000000
5	6	4000000
5	8	44
5	9	29
6	305	106
6	309	11
6	5	4000000
6	310	146
6	7	4000000
7	16	49
7	2	60
7	6	4000000
7	8	4000000
7	3998	116
8	5	44
8	7	4000000
8	9	4000000
9	10464	157
9	5	29
9	8	4000000
9	10	4000000
9	12	153
10	22	43
10	9	4000000
10	11	4000000
10	77	144
11	10	4000000
11	44	154
11	12	4000000
12	9	153
12	11	4000000
12	13	4000000
12	14	186
14	20	140
14	12	186
14	13	4000000
14	15	4000000
15	16	4000000
15	310	123
15	312	71
15	14	4000000
16	17	4000000
16	18	121
16	7	49
16	15	4000000
18	16	121
18	17	4000000
18	19	4000000
18	24	175
18	266	69
19	18	4000000
19	20	4000000
19	21	138
19	23	158
19	25	128
20	19	4000000
20	21	4000000
20	24	1
20	312	109
20	14	140
21	19	138
21	20	4000000
21	22	4000000
22	69	91
22	21	4000000
22	23	4000000
22	10	43
22	58	28
22	44	81
23	19	158
23	38	28
23	22	4000000
23	24	4000000
24	18	175
24	20	1
24	23	4000000
24	25	4000000
24	303	56
25	19	128
25	24	4000000
25	26	4000000
25	29	16
26	37	44
26	312	142
26	25	4000000
26	27	4000000
27	26	4000000
27	28	4000000
27	29	49
27	30	103
29	25	16
29	314	11
29	27	49
29	28	4000000
29	30	4000000
30	32	55
30	27	103
30	29	4000000
30	31	4000000
32	33	4000000
32	34	197
32	30	55
32	31	4000000
34	32	197
34	33	4000000
34	35	4000000
34	36	72
36	34	72
36	35	4000000
36	37	4000000
36	40	85
36	313	177
37	36	4000000
37	38	4000000
37	313	15
37	26	44
38	52	37
38	37	4000000
38	23	28
38	39	4000000
39	38	4000000
39	40	4000000
39	4027	22
39	317	78
39	303	57
40	67	74
40	36	85
40	39	4000000
40	41	4000000
40	45	159
41	40	4000000
41	57	131
41	42	4000000
41	43	157
42	279	29
42	8841	127
42	41	4000000
42	43	4000000
43	41	157
43	42	4000000
43	44	4000000
44	51	22
44	22	81
44	11	154
44	43	4000000
44	45	4000000
45	275	115
45	279	134
45	40	159
45	44	4000000
45	46	4000000
46	56	100
46	59	51
46	45	4000000
46	47	4000000
47	48	4000000
47	55	11
47	60	136
47	46	4000000
48	49	4000000
48	277	200
48	54	178
48	63	90
48	47	4000000
49	48	4000000
49	50	4000000
49	55	8
50	49	4000000
50	51	4000000
50	58	190
50	61	133
51	50	4000000
51	52	4000000
51	44	22
52	51	4000000
52	132	194
52	53	4000000
52	38	37
52	71	188
53	52	4000000
53	277	197
53	278	125
53	54	4000000
53	279	2
54	48	178
54	53	4000000
54	55	4000000
54	60	61
54	62	198
55	49	8
55	54	4000000
55	56	4000000
55	47	11
56	65	98
56	55	4000000
56	57	4000000
56	46	100
57	64	78
57	56	4000000
57	41	131
57	58	4000000
57	75	105
58	50	190
58	22	28
58	70	159
58	57	4000000
58	59	4000000
59	65	73
59	68	132
59	58	4000000
59	60	4000000
59	46	51
60	54	61
60	59	4000000
60	61	4000000
60	47	136
61	81	95
61	50	133
61	70	198
61	60	4000000
61	62	4000000
62	68	165
62	54	198
62	61	4000000
62	63	4000000
63	48	90
63	64	4000000
63	62	4000000
64	80	128
64	65	4000000
64	66	59
64	57	78
64	63	4000000
65	64	4000000
65	66	4000000
65	56	98
65	59	73
65	75	10
65	78	74
66	64	59
66	65	4000000
66	67	4000000
66	86	26
66	73	111
67	66	4000000
67	68	4000000
67	40	74
68	67	4000000
68	69	4000000
68	59	132
68	62	165
68	78	16
69	83	78
69	68	4000000
69	22	91
69	70	4000000
69	76	60
70	69	4000000
70	71	4000000
70	58	159
70	61	198
70	93	154
71	52	188
71	70	4000000
71	72	4000000
71	319	27
72	71	4000000
72	73	4000000
72	317	9
72	318	116
73	66	111
73	72	4000000
73	74	4000000
73	79	105
75	80	3
75	65	10
75	82	134
75	57	105
75	74	4000000
75	76	4000000
76	69	60
76	198	34
76	88	187
76	75	4000000
76	77	4000000
77	197	98
77	10	144
77	76	4000000
77	78	4000000
78	65	74
78	82	97
78	68	16
78	77	4000000
78	79	4000000
79	80	4000000
79	81	191
79	73	105
79	89	79
79	78	4000000
80	64	128
80	81	4000000
80	86	74
80	87	174
80	75	3
80	79	4000000
81	80	4000000
81	82	4000000
81	61	95
81	93	126
81	79	191
81	95	57
82	81	4000000
82	83	4000000
82	87	137
82	106	119
82	75	134
82	78	97
83	82	4000000
83	84	4000000
83	69	78
83	88	200
83	92	66
84	352	200
84	83	4000000
84	85	4000000
84	9833	165
85	84	4000000
85	853	197
85	86	4000000
85	895	72
86	80	74
86	66	26
86	85	4000000
86	87	4000000
86	89	80
86	94	30
87	80	174
87	82	137
87	99	127
87	86	4000000
87	88	4000000
87	94	33
88	96	21
88	83	200
88	387	50
88	87	4000000
88	89	4000000
88	76	187
89	97	111
89	86	80
89	88	4000000
89	90	4000000
89	79	79
89	95	35
90	400	121
90	1520	38
90	297	101
90	89	4000000
90	1642	189
90	91	4000000
91	295	47
91	297	199
91	345	107
91	90	4000000
91	92	4000000
92	96	54
92	98	125
92	83	66
92	91	4000000
92	93	4000000
93	81	126
93	70	154
93	92	4000000
93	94	4000000
94	97	103
94	86	30
94	87	33
94	108	200
94	93	4000000
94	95	4000000
95	96	4000000
95	81	57
95	101	46
95	102	11
95	89	35
95	94	4000000
96	97	4000000
96	103	20
96	88	21
96	104	194
96	92	54
96	95	4000000
97	96	4000000
97	98	4000000
97	102	60
97	89	111
97	107	165
97	94	103
98	97	4000000
98	99	4000000
98	101	77
98	104	6
98	92	125
99	98	4000000
99	100	4000000
99	3558	49
99	87	127
99	105	160
100	99	4000000
100	101	4000000
100	108	169
100	109	55
101	112	71
101	98	77
101	2339	26
101	100	4000000
101	102	4000000
101	95	46
102	97	60
102	113	110
102	101	4000000
102	103	4000000
102	95	11
102	111	54
103	96	20
103	115	50
103	102	4000000
103	104	4000000
103	124	125
104	96	194
104	98	6
104	115	39
104	103	4000000
104	120	38
104	105	4000000
105	99	160
105	9062	93
105	104	4000000
105	106	4000000
106	82	119
106	105	4000000
106	107	4000000
107	97	165
107	113	126
107	346	36
