1000	3540
2	1	100000
2	3	100000
2	4	5
2	7	157
3	2	100000
3	4	100000
3	309	117
4	273	82
4	2	5
4	274	116
4	3	100000
4	388	60
4	5	100000
5	4	100000
5	6	100000
5	8	26
5	9	133
6	305	174
6	309	82
6	5	100000
6	310	4
6	7	100000
7	16	108
7	2	157
7	6	100000
7	8	100000
8	5	26
8	7	100000
8	9	100000
9	5	133
9	8	100000
9	10	100000
9	12	50
10	22	70
10	9	100000
10	11	100000
10	77	143
11	10	100000
11	44	32
11	12	100000
12	9	50
12	11	100000
12	13	100000
12	14	125
14	20	112
14	12	125
14	13	100000
14	15	100000
15	16	100000
15	310	159
15	312	164
15	14	100000
16	17	100000
16	18	84
16	7	108
16	15	100000
18	16	84
18	17	100000
18	19	100000
18	24	134
18	266	74
19	18	100000
19	20	100000
19	21	73
19	23	137
19	25	88
20	19	100000
20	21	100000
20	24	108
20	312	51
20	14	112
21	19	73
21	20	100000
21	22	100000
22	69	188
22	21	100000
22	23	100000
22	10	70
22	58	187
22	44	81
23	19	137
23	38	196
23	22	100000
23	24	100000
24	18	134
24	20	108
24	23	100000
24	25	100000
24	303	36
25	19	88
25	24	100000
25	26	100000
25	29	45
26	37	30
26	312	15
26	25	100000
26	27	100000
27	26	100000
27	28	100000
27	29	80
27	30	198
29	25	45
29	314	78
29	27	80
29	28	100000
29	30	100000
30	32	142
30	27	198
30	29	100000
30	31	100000
32	33	100000
32	34	70
32	30	142
32	31	100000
34	32	70
34	33	100000
34	35	100000
34	36	88
36	34	88
36	35	100000
36	37	100000
36	40	88
36	313	112
37	36	100000
37	38	100000
37	313	97
37	26	30
38	52	56
38	37	100000
38	23	196
38	39	100000
39	38	100000
39	40	100000
39	317	140
39	303	98
40	67	57
40	36	88
40	39	100000
40	41	100000
40	45	63
41	40	100000
41	57	8
41	42	100000
41	43	51
42	279	172
42	41	100000
42	43	100000
43	41	51
43	42	100000
43	44	100000
44	51	165
44	22	81
44	11	32
44	43	100000
44	45	100000
45	275	71
45	279	112
45	40	63
45	44	100000
45	46	100000
46	56	75
46	59	158
46	45	100000
46	47	100000
47	48	100000
47	55	143
47	60	33
47	46	100000
48	49	100000
48	277	50
48	54	97
48	63	59
48	47	100000
49	48	100000
49	50	100000
49	55	62
50	49	100000
50	51	100000
50	58	76
50	61	18
51	50	100000
51	52	100000
51	44	165
52	51	100000
52	132	41
52	53	100000
52	38	56
52	71	189
53	52	100000
53	277	81
53	278	109
53	54	100000
53	279	100
54	48	97
54	53	100000
54	55	100000
54	60	172
54	62	188
55	49	62
55	54	100000
55	56	100000
55	47	143
56	65	173
56	55	100000
56	57	100000
56	46	75
57	64	60
57	56	100000
57	41	8
57	58	100000
57	75	51
58	50	76
58	22	187
58	70	44
58	57	100000
58	59	100000
59	65	172
59	68	128
59	58	100000
59	60	100000
59	46	158
60	54	172
60	59	100000
60	61	100000
60	47	33
61	81	153
61	50	18
61	70	160
61	60	100000
61	62	100000
62	68	85
62	54	188
62	61	100000
62	63	100000
63	48	59
63	64	100000
63	62	100000
64	80	157
64	65	100000
64	66	136
64	57	60
64	63	100000
65	64	100000
65	66	100000
65	56	173
65	59	172
65	75	45
65	78	7
66	64	136
66	65	100000
66	67	100000
66	86	26
66	73	75
67	66	100000
67	68	100000
67	40	57
68	67	100000
68	69	100000
68	59	128
