100	339
2	1	10000
2	3	10000
2	4	141
2	7	153
4	2	141
4	3	10000
4	5	10000
5	4	10000
5	6	10000
5	8	193
5	9	26
7	16	55
7	2	153
7	6	10000
7	8	10000
8	5	193
8	7	10000
8	9	10000
9	5	26
9	8	10000
9	10	10000
9	12	121
10	22	23
10	9	10000
10	11	10000
10	77	81
11	10	10000
11	44	60
11	12	10000
12	9	121
12	11	10000
12	13	10000
12	14	145
14	20	26
14	12	145
14	13	10000
14	15	10000
16	17	10000
16	18	9
16	7	55
16	15	10000
18	16	9
18	17	10000
18	19	10000
18	24	123
19	18	10000
19	20	10000
19	21	35
19	23	35
19	25	41
20	19	10000
20	21	10000
20	24	191
20	14	26
21	19	35
21	20	10000
21	22	10000
22	69	173
22	21	10000
22	23	10000
22	10	23
22	58	74
22	44	33
23	19	35
23	38	67
23	22	10000
23	24	10000
24	18	123
24	20	191
24	23	10000
24	25	10000
25	19	41
25	24	10000
25	26	10000
25	29	61
26	37	52
26	25	10000
26	27	10000
27	26	10000
27	28	10000
27	29	117
27	30	124
29	25	61
29	27	117
29	28	10000
29	30	10000
30	32	108
30	27	124
30	29	10000
30	31	10000
32	33	10000
32	34	139
32	30	108
32	31	10000
34	32	139
34	33	10000
34	35	10000
34	36	193
36	34	193
36	35	10000
36	37	10000
36	40	78
37	36	10000
37	38	10000
37	26	52
38	52	51
38	37	10000
38	23	67
38	39	10000
40	67	27
40	36	78
40	39	10000
40	41	10000
40	45	7
41	40	10000
41	57	199
41	42	10000
41	43	193
43	41	193
43	42	10000
43	44	10000
44	51	49
44	22	33
44	11	60
44	43	10000
44	45	10000
45	40	7
45	44	10000
45	46	10000
46	56	174
46	59	33
46	45	10000
46	47	10000
47	48	10000
47	55	100
47	60	17
47	46	10000
48	49	10000
48	54	177
48	63	164
48	47	10000
49	48	10000
49	50	10000
49	55	169
50	49	10000
50	51	10000
50	58	125
50	61	196
51	50	10000
51	52	10000
51	44	49
52	51	10000
52	53	10000
52	38	51
52	71	155
54	48	177
54	53	10000
54	55	10000
54	60	187
54	62	40
55	49	169
55	54	10000
55	56	10000
55	47	100
56	65	130
56	55	10000
56	57	10000
56	46	174
57	64	194
57	56	10000
57	41	199
57	58	10000
57	75	160
58	50	125
58	22	74
58	70	134
58	57	10000
58	59	10000
59	65	185
59	68	66
59	58	10000
59	60	10000
59	46	33
60	54	187
60	59	10000
60	61	10000
60	47	17
61	81	198
61	50	196
61	70	52
61	60	10000
61	62	10000
62	68	128
62	54	40
62	61	10000
62	63	10000
63	48	164
63	64	10000
63	62	10000
64	80	181
64	65	10000
64	66	70
64	57	194
64	63	10000
65	64	10000
65	66	10000
65	56	130
65	59	185
65	75	3
65	78	144
66	64	70
66	65	10000
66	67	10000
66	86	9
66	73	93
67	66	10000
67	68	10000
67	40	27
68	67	10000
68	69	10000
68	59	66
68	62	128
68	78	97
69	83	156
69	68	10000
69	22	173
69	70	10000
69	76	74
70	69	10000
70	71	10000
70	58	134
70	61	52
70	93	93
71	52	155
71	70	10000
71	72	10000
73	66	93
73	72	10000
73	74	10000
73	79	134
75	80	124
75	65	3
75	82	8
75	57	160
75	74	10000
75	76	10000
76	69	74
76	88	63
76	75	10000
76	77	10000
77	10	81
77	76	10000
77	78	10000
78	65	144
78	82	137
78	68	97
78	77	10000
78	79	10000
79	80	10000
79	81	173
79	73	134
79	89	77
79	78	10000
80	64	181
80	81	10000
80	86	175
80	87	84
80	75	124
80	79	10000
81	80	10000
81	82	10000
81	61	198
81	93	70
81	79	173
81	95	30
82	81	10000
82	83	10000
82	87	140
82	75	8
82	78	137
83	82	10000
83	84	10000
83	69	156
83	88	120
83	92	124
86	80	175
86	66	9
86	85	10000
86	87	10000
86	89	191
86	94	153
87	80	84
87	82	140
87	99	176
87	86	10000
87	88	10000
87	94	44
88	96	26
88	83	120
88	87	10000
88	89	10000
88	76	63
89	97	188
89	86	191
89	88	10000
89	90	10000
89	79	77
89	95	91
92	96	73
92	98	3
92	83	124
92	91	10000
92	93	10000
93	81	70
93	70	93
93	92	10000
93	94	10000
94	97	94
94	86	153
94	87	44
94	93	10000
94	95	10000
95	96	10000
95	81	30
95	89	91
95	94	10000
96	97	10000
96	88	26
96	92	73
96	95	10000
97	96	10000
97	98	10000
97	89	188
97	94	94
98	97	10000
98	99	10000
98	92	3
99	98	10000
99	87	176
