500	1278
0	1	956
1	0	956
2	3	500
2	4	551
2	7	131
3	2	500
3	309	357
4	273	918
4	2	551
4	274	186
4	388	456
5	6	574
5	8	69
5	9	560
6	305	763
6	5	574
6	309	773
6	310	495
7	16	62
7	2	131
7	8	710
8	5	69
8	7	710
9	5	560
9	12	335
10	22	351
10	11	732
10	77	997
11	10	732
11	44	54
12	9	335
12	13	100
12	14	939
13	12	100
14	20	437
14	12	939
14	15	853
15	310	941
15	312	700
15	14	853
16	17	636
16	18	836
16	7	62
17	16	636
18	16	836
18	24	863
18	266	272
19	20	818
19	21	20
19	23	199
19	25	64
20	19	818
20	24	765
20	312	613
20	14	437
21	19	20
22	69	720
22	10	351
22	58	824
22	44	86
23	19	199
23	38	276
23	24	806
24	18	863
24	20	765
24	23	806
24	303	549
25	19	64
25	26	991
25	29	436
26	37	10
26	312	516
26	25	991
27	28	580
27	29	312
27	30	351
28	27	580
29	25	436
29	314	407
29	27	312
30	32	157
30	27	351
30	31	13
31	30	13
32	33	29
32	34	514
32	30	157
33	32	29
34	32	514
34	35	492
34	36	739
35	34	492
36	34	739
36	37	853
36	40	620
36	313	18
37	36	853
37	313	871
37	26	10
38	52	563
38	23	276
38	39	261
39	38	261
39	317	902
39	303	458
40	67	394
40	36	620
40	45	730
41	57	595
41	42	442
41	43	711
42	279	365
42	41	442
43	41	711
44	51	941
44	22	86
44	11	54
44	45	740
45	275	246
45	279	353
45	40	730
45	44	740
46	56	178
46	59	198
46	47	500
47	55	569
47	60	193
47	46	500
48	49	272
48	277	181
48	54	697
48	63	207
49	48	272
49	55	236
50	51	104
50	58	215
50	61	668
51	50	104
51	44	941
52	132	670
52	53	858
52	38	563
52	71	655
53	52	858
53	277	493
53	278	909
53	279	688
54	48	697
54	55	911
54	60	963
54	62	217
55	49	236
55	54	911
55	47	569
56	65	443
56	57	282
56	46	178
57	64	519
57	56	282
57	41	595
57	75	415
58	50	215
58	22	824
58	70	168
59	65	341
59	68	430
59	60	825
59	46	198
60	54	963
60	59	825
60	47	193
61	81	890
61	50	668
61	70	726
62	68	771
62	54	217
62	63	450
63	48	207
63	62	450
64	80	418
64	66	394
64	57	519
65	56	443
65	59	341
65	75	489
65	78	474
66	64	394
66	86	525
66	73	931
67	40	394
68	59	430
68	62	771
68	78	343
69	83	312
69	22	720
69	70	712
69	76	78
70	69	712
70	58	168
70	61	726
70	93	388
71	52	655
71	72	643
71	319	855
72	71	643
72	317	672
72	318	274
73	66	931
73	74	90
73	79	440
74	73	90
75	80	889
75	65	489
75	82	48
75	57	415
76	69	78
76	198	469
76	88	756
76	77	749
77	197	347
77	10	997
77	76	749
78	65	474
78	82	804
78	68	343
79	81	372
79	73	440
79	89	592
80	64	418
80	86	812
80	87	658
80	75	889
81	61	890
81	93	454
81	79	372
81	95	396
82	87	325
82	106	640
82	75	48
82	78	804
83	69	312
83	88	15
83	92	586
84	352	213
84	85	382
85	84	382
86	80	812
86	66	525
86	89	952
86	94	225
87	80	658
87	82	325
87	99	831
87	94	642
88	96	846
88	83	15
88	387	322
88	76	756
89	97	99
89	86	952
89	79	592
89	95	682
90	400	825
90	297	280
90	91	367
91	295	513
91	297	454
91	345	439
91	90	367
92	96	718
92	98	125
92	83	586
92	93	534
93	81	454
93	70	388
93	92	534
94	97	995
94	86	225
94	87	642
94	108	179
95	81	396
95	101	373
95	102	880
95	89	682
96	103	575
96	88	846
96	104	608
96	92	718
97	102	711
97	89	99
97	107	670
97	94	995
98	101	153
98	104	947
98	92	125
99	100	638
99	87	831
99	105	678
100	99	638
100	108	39
100	109	390
101	112	298
101	98	153
101	95	373
102	97	711
102	113	791
102	95	880
102	111	136
103	96	575
103	115	515
103	124	366
104	96	608
104	98	947
104	115	509
104	120	785
105	99	678
105	106	813
106	82	640
106	105	813
107	97	670
107	113	43
107	346	764
107	108	42
108	100	39
108	107	42
108	94	179
108	110	152
109	100	390
109	118	721
109	110	266
110	346	385
110	108	152
110	109	266
111	112	646
111	102	136
111	119	606
111	122	762
112	101	298
112	111	646
113	114	497
113	102	791
113	121	41
113	107	43
114	113	497
115	128	429
115	103	515
115	104	509
115	120	52
115	123	931
116	117	269
116	133	134
116	118	341
117	116	269
118	116	341
118	109	721
119	120	204
119	125	990
119	111	606
120	115	52
120	119	204
120	104	785
121	113	41
121	122	347
121	126	517
122	121	347
122	125	73
122	111	762
122	127	56
123	115	931
123	136	263
123	124	247
124	103	366
124	123	247
124	347	568
125	128	575
125	129	532
125	119	990
125	122	73
126	130	361
126	121	517
126	127	615
127	129	898
127	134	662
127	122	56
127	126	615
128	115	429
128	138	861
128	125	575
129	137	951
129	125	532
129	127	898
130	131	197
130	134	439
130	126	361
131	130	197
132	52	670
132	151	17
132	152	386
133	116	134
134	130	439
134	137	473
134	142	855
134	127	662
135	136	454
135	284	378
136	135	454
136	123	263
136	347	770
137	129	951
137	145	119
137	134	473
137	138	824
138	128	861
138	144	299
138	137	824
139	140	90
140	139	90
141	325	329
141	142	651
141	143	757
142	145	5
142	134	855
142	141	651
143	144	558
143	145	200
143	141	757
144	177	808
144	138	299
144	143	558
145	137	119
145	142	5
145	143	200
146	147	232
146	148	190
146	149	767
147	146	232
147	148	933
147	150	535
147	412	523
148	146	190
148	147	933
148	324	621
148	278	204
149	161	119
149	146	767
149	150	866
150	147	535
150	149	866
150	406	931
150	411	146
151	132	17
151	153	332
151	156	555
152	132	386
152	153	423
152	154	432
153	151	332
153	152	423
153	154	909
154	152	432
154	153	909
155	166	605
155	156	147
155	157	690
156	278	143
156	151	555
156	155	147
157	162	979
157	170	733
157	155	690
158	160	373
158	280	376
158	159	783
159	280	715
159	282	873
159	158	783
160	158	373
161	149	119
161	328	931
161	175	66
162	157	979
163	164	40
163	180	792
163	165	155
164	163	40
164	180	261
164	327	662
165	163	155
165	166	559
165	171	526
166	165	559
166	155	605
166	332	728
167	168	212
167	169	382
167	172	922
168	167	212
168	281	321
168	286	94
169	167	382
170	171	883
170	157	733
171	165	526
171	170	883
172	176	969
172	292	360
172	167	922
173	176	981
173	174	597
173	175	86
174	173	597
175	161	66
175	178	898
175	173	86
176	178	642
176	172	969
176	173	981
177	144	808
178	176	642
178	181	947
178	175	898
179	180	269
179	184	730
179	185	192
180	163	792
180	179	269
180	164	261
181	178	947
181	182	224
181	183	853
182	181	224
183	291	145
183	181	853
183	185	391
184	179	730
185	179	192
185	183	391
185	186	559
186	185	559
186	187	548
186	188	29
187	336	335
187	186	548
187	333	876
188	289	753
188	194	569
188	186	29
189	193	970
189	190	339
189	191	790
190	189	339
191	189	790
192	193	464
192	196	166
193	192	464
193	189	970
194	195	849
194	361	983
194	188	569
195	194	849
195	338	242
195	196	705
196	192	166
196	195	705
197	387	755
197	198	675
197	77	347
198	197	675
198	76	469
199	200	30
199	205	434
199	206	39
200	373	161
200	199	30
200	376	847
200	361	996
201	213	905
201	202	214
201	203	329
201	204	11
202	208	859
202	201	214
202	383	340
203	201	329
203	383	557
204	210	328
204	212	112
204	201	11
204	205	165
205	199	434
205	204	165
206	210	574
206	199	39
206	207	950
207	376	340
207	206	950
208	209	374
208	213	4
208	214	580
208	202	859
209	208	374
209	288	650
209	290	440
209	287	148
210	211	269
210	215	871
210	204	328
210	206	574
211	210	269
211	220	990
211	223	842
212	213	538
212	215	162
212	204	112
212	221	992
213	208	4
213	212	538
213	201	905
213	222	361
214	208	580
214	299	482
214	222	255
215	210	871
215	226	167
215	212	162
215	223	658
216	225	769
216	227	595
216	217	893
217	224	262
217	216	893
217	219	177
218	224	34
218	230	658
218	219	231
218	220	279
219	360	713
219	217	177
219	218	231
220	211	990
220	231	575
220	360	663
220	218	279
221	226	160
221	243	269
221	212	992
221	222	762
222	213	361
222	214	255
222	221	762
223	211	842
223	229	400
223	215	658
223	231	597
224	227	500
224	217	262
224	218	34
224	234	472
225	228	725
225	216	769
225	233	962
226	229	212
226	215	167
226	221	160
226	350	688
227	224	500
227	216	595
227	233	39
227	236	213
228	225	725
228	232	28
228	235	511
229	226	212
229	238	757
229	223	400
230	231	743
230	218	658
230	234	574
230	237	116
231	230	743
231	220	575
231	238	891
231	223	597
232	228	28
233	240	516
233	225	962
233	227	39
233	235	608
234	224	472
234	230	574
234	236	195
234	239	97
235	228	511
235	244	874
235	233	608
236	240	319
236	227	213
236	234	195
237	230	116
237	343	798
237	238	279
237	239	653
238	229	757
238	231	891
238	237	279
239	245	274
239	264	245
239	234	97
239	237	653
240	244	202
240	245	730
240	233	516
240	236	319
241	242	178
241	243	287
241	296	927
242	241	178
242	356	959
242	350	941
243	241	287
243	299	20
243	221	269
243	350	335
244	240	202
244	357	490
244	246	325
244	235	874
245	240	730
245	246	167
245	239	274
246	244	325
246	245	167
246	359	409
247	259	877
247	405	775
247	248	187
247	249	465
248	357	966
248	358	917
248	247	187
249	247	465
249	250	354
249	251	983
250	405	526
250	263	620
250	249	354
251	258	374
251	263	278
251	249	983
252	256	758
252	253	412
252	254	333
253	294	794
