30000	114422
0	6353	104
0	1	3000000
0	6309	25
2	1	3000000
2	3	3000000
2	4	135
2	7	40
3	2	3000000
3	4	3000000
3	309	18
4	273	80
4	2	135
4	274	193
4	3	3000000
4	388	115
4	5	3000000
5	4	3000000
5	6	3000000
5	8	138
5	9	23
6	305	62
6	309	10
6	5	3000000
6	310	47
6	7	3000000
7	16	162
7	2	40
7	6	3000000
7	8	3000000
7	3998	195
8	5	138
8	7	3000000
8	9	3000000
9	10464	29
9	5	23
9	8	3000000
9	10	3000000
9	12	64
10	22	110
10	9	3000000
10	11	3000000
10	77	11
11	10	3000000
11	44	162
11	12	3000000
12	9	64
12	11	3000000
12	13	3000000
12	14	180
14	20	26
14	12	180
14	13	3000000
14	15	3000000
15	16	3000000
15	310	20
15	312	25
15	14	3000000
16	17	3000000
16	18	183
16	7	162
16	15	3000000
18	16	183
18	17	3000000
18	19	3000000
18	24	1
18	266	72
19	18	3000000
19	20	3000000
19	21	85
19	23	36
19	25	39
20	19	3000000
20	21	3000000
20	24	170
20	312	55
20	14	26
21	19	85
21	20	3000000
21	22	3000000
22	69	109
22	21	3000000
22	23	3000000
22	10	110
22	58	61
22	44	26
23	19	36
23	38	123
23	22	3000000
23	24	3000000
24	18	1
24	20	170
24	23	3000000
24	25	3000000
24	303	103
25	19	39
25	24	3000000
25	26	3000000
25	29	143
26	37	183
26	312	165
26	25	3000000
26	27	3000000
27	26	3000000
27	28	3000000
27	29	177
27	30	36
29	25	143
29	314	9
29	27	177
29	28	3000000
29	30	3000000
30	32	35
30	27	36
30	29	3000000
30	31	3000000
32	33	3000000
32	34	153
32	30	35
32	31	3000000
34	32	153
34	33	3000000
34	35	3000000
34	36	179
36	34	179
36	35	3000000
36	37	3000000
36	40	6
36	313	161
37	36	3000000
37	38	3000000
37	313	14
37	26	183
38	52	76
38	37	3000000
38	23	123
38	39	3000000
39	38	3000000
39	40	3000000
39	4027	73
39	317	17
39	303	33
40	67	86
40	36	6
40	39	3000000
40	41	3000000
40	45	24
41	40	3000000
41	57	193
41	42	3000000
41	43	102
42	279	135
42	8841	167
42	41	3000000
42	43	3000000
43	41	102
43	42	3000000
43	44	3000000
44	51	132
44	22	26
44	11	162
44	43	3000000
44	45	3000000
45	275	64
45	279	66
45	40	24
45	44	3000000
45	46	3000000
46	56	97
46	59	166
46	45	3000000
46	47	3000000
47	48	3000000
47	55	198
47	60	15
47	46	3000000
48	49	3000000
48	277	131
48	54	72
48	63	156
48	47	3000000
49	48	3000000
49	50	3000000
49	55	4
50	49	3000000
50	51	3000000
50	58	11
50	61	95
51	50	3000000
51	52	3000000
51	44	132
52	51	3000000
52	132	121
52	53	3000000
52	38	76
52	71	30
53	52	3000000
53	277	123
53	278	21
53	54	3000000
53	279	174
54	48	72
54	53	3000000
54	55	3000000
54	60	168
54	62	3
55	49	4
55	54	3000000
55	56	3000000
55	47	198
56	65	18
56	55	3000000
56	57	3000000
56	46	97
57	64	98
57	56	3000000
57	41	193
57	58	3000000
57	75	77
58	50	11
58	22	61
58	70	172
58	57	3000000
58	59	3000000
59	65	9
59	68	150
59	58	3000000
59	60	3000000
59	46	166
60	54	168
60	59	3000000
60	61	3000000
60	47	15
61	81	167
61	50	95
61	70	72
61	60	3000000
61	62	3000000
62	68	74
62	54	3
62	61	3000000
62	63	3000000
63	48	156
63	64	3000000
63	62	3000000
64	80	64
64	65	3000000
64	66	164
64	57	98
64	63	3000000
65	64	3000000
65	66	3000000
65	56	18
65	59	9
65	75	176
65	78	52
66	64	164
66	65	3000000
66	67	3000000
66	86	3
66	73	81
67	66	3000000
67	68	3000000
67	40	86
68	67	3000000
68	69	3000000
68	59	150
68	62	74
68	78	21
69	83	65
69	68	3000000
69	22	109
69	70	3000000
69	76	3
70	69	3000000
70	71	3000000
70	58	172
70	61	72
70	93	114
71	52	30
71	70	3000000
71	72	3000000
71	319	143
72	71	3000000
72	73	3000000
72	317	160
72	318	23
73	66	81
73	72	3000000
73	74	3000000
73	79	61
75	80	45
75	65	176
75	82	21
75	57	77
75	74	3000000
75	76	3000000
76	69	3
76	198	38
76	88	164
76	75	3000000
76	77	3000000
77	197	95
77	10	11
77	76	3000000
77	78	3000000
78	65	52
78	82	7
78	68	21
78	77	3000000
78	79	3000000
79	80	3000000
79	81	115
79	73	61
79	89	194
79	78	3000000
80	64	64
80	81	3000000
80	86	121
80	87	155
80	75	45
80	79	3000000
81	80	3000000
81	82	3000000
81	61	167
81	93	51
81	79	115
81	95	95
82	81	3000000
82	83	3000000
82	87	120
82	106	44
82	75	21
82	78	7
83	82	3000000
83	84	3000000
83	69	65
83	88	146
83	92	48
84	352	110
84	83	3000000
84	85	3000000
84	9833	70
85	84	3000000
85	853	40
85	86	3000000
85	895	114
86	80	121
86	66	3
86	85	3000000
86	87	3000000
86	89	108
86	94	147
87	80	155
87	82	120
87	99	78
87	86	3000000
87	88	3000000
87	94	176
88	96	120
88	83	146
88	387	68
88	87	3000000
88	89	3000000
88	76	164
89	97	93
89	86	108
89	88	3000000
89	90	3000000
89	79	194
89	95	11
90	400	144
90	1520	95
90	297	168
90	89	3000000
90	1642	104
90	91	3000000
91	295	142
91	297	137
91	345	91
91	90	3000000
91	92	3000000
92	96	124
92	98	6
92	83	48
92	91	3000000
92	93	3000000
93	81	51
93	70	114
93	92	3000000
93	94	3000000
94	97	51
94	86	147
94	87	176
94	108	164
94	93	3000000
94	95	3000000
95	96	3000000
95	81	95
95	101	182
95	102	16
95	89	11
95	94	3000000
96	97	3000000
96	103	181
96	88	120
96	104	116
96	92	124
96	95	3000000
97	96	3000000
97	98	3000000
97	102	127
97	89	93
97	107	27
97	94	51
98	97	3000000
98	99	3000000
98	101	52
98	104	127
98	92	6
99	98	3000000
99	100	3000000
99	3558	118
99	87	78
99	105	42
100	99	3000000
100	101	3000000
100	108	135
100	109	177
101	112	86
101	98	52
101	2339	80
101	100	3000000
101	102	3000000
101	95	182
102	97	127
102	113	179
102	101	3000000
102	103	3000000
102	95	16
102	111	84
103	96	181
103	115	77
103	102	3000000
103	104	3000000
103	124	167
104	96	116
104	98	127
104	115	66
104	103	3000000
104	120	131
104	105	3000000
105	99	42
105	9062	76
105	104	3000000
105	106	3000000
106	82	44
106	105	3000000
106	107	3000000
107	97	27
107	113	39
107	346	108
107	106	3000000
107	108	3000000
108	100	135
108	107	3000000
108	109	3000000
108	94	164
108	110	40
109	100	177
109	118	66
109	108	3000000
109	110	3000000
110	346	191
110	108	40
110	109	3000000
110	111	3000000
111	112	3000000
111	102	84
111	119	176
111	122	109
111	110	3000000
112	113	3000000
112	2339	131
112	101	86
112	111	3000000
113	112	3000000
113	114	3000000
113	102	179
113	121	178
113	107	39
115	128	28
115	114	3000000
115	116	3000000
115	103	77
115	104	66
115	120	69
115	123	181
116	115	3000000
116	133	21
116	117	3000000
116	118	118
117	116	3000000
