50000	191534
0	6353	133
0	1	5000000
0	6309	97
2	1	5000000
2	3	5000000
2	4	179
2	7	45
3	2	5000000
3	4	5000000
3	309	94
4	273	189
4	2	179
4	274	41
4	3	5000000
4	388	107
4	5	5000000
5	4	5000000
5	6	5000000
5	8	161
5	9	18
6	305	84
6	309	59
6	5	5000000
6	310	113
6	7	5000000
7	16	66
7	2	45
7	6	5000000
7	8	5000000
7	3998	148
8	5	161
8	7	5000000
8	9	5000000
9	10464	83
9	5	18
9	8	5000000
9	10	5000000
9	12	75
10	22	55
10	9	5000000
10	11	5000000
10	77	5
11	10	5000000
11	44	171
11	12	5000000
12	9	75
12	11	5000000
12	13	5000000
12	14	165
14	20	48
14	12	165
14	13	5000000
14	15	5000000
15	16	5000000
15	310	167
15	312	146
15	14	5000000
16	17	5000000
16	18	87
16	7	66
16	15	5000000
18	16	87
18	17	5000000
18	19	5000000
18	24	181
18	266	179
19	18	5000000
19	20	5000000
19	21	119
19	23	31
19	25	125
20	19	5000000
20	21	5000000
20	24	19
20	312	3
20	14	48
21	19	119
21	20	5000000
21	22	5000000
22	69	197
22	21	5000000
22	23	5000000
22	10	55
22	58	36
22	44	81
23	19	31
23	38	109
23	22	5000000
23	24	5000000
24	18	181
24	20	19
24	23	5000000
24	25	5000000
24	303	29
25	19	125
25	24	5000000
25	26	5000000
25	29	52
26	37	121
26	312	15
26	25	5000000
26	27	5000000
27	26	5000000
27	28	5000000
27	29	152
27	30	37
29	25	52
29	314	100
29	27	152
29	28	5000000
29	30	5000000
30	32	168
30	27	37
30	29	5000000
30	31	5000000
32	33	5000000
32	34	57
32	30	168
32	31	5000000
34	32	57
34	33	5000000
34	35	5000000
34	36	178
36	34	178
36	35	5000000
36	37	5000000
36	40	80
36	313	198
37	36	5000000
37	38	5000000
37	313	4
37	26	121
38	52	122
38	37	5000000
38	23	109
38	39	5000000
39	38	5000000
39	40	5000000
39	4027	2
39	317	44
39	303	194
40	67	32
40	36	80
40	39	5000000
40	41	5000000
40	45	93
41	40	5000000
