1000	3540
Node	Dis	Prev
0	1000000	-1
1	100000	2
2	0	2
3	361	309
4	5	2
5	1011	9
6	326	309
7	157	2
8	1037	5
9	878	12
10	2899	22
11	2942	44
12	828	14
13	100703	14
14	703	20
15	489	310
16	265	7
17	100265	16
18	349	16
19	1607	25
20	591	24
21	1680	19
22	2829	58
23	1744	19
24	483	18
25	1519	29
26	657	312
27	1394	30
28	101394	27
29	1474	27
30	1196	32
31	101054	32
32	1054	34
33	100984	34
34	984	36
35	100896	36
36	896	313
37	687	26
38	1901	52
39	617	303
40	984	36
41	1922	57
42	1331	279
43	1973	41
44	2910	22
45	1047	40
46	2046	59
47	1692	60
48	1390	277
49	1897	55
50	2566	61
51	3075	44
52	1845	132
53	1259	279
54	1487	48
55	1835	47
56	1991	65
57	1914	75
58	2642	50
59	1888	68
60	1659	54
61	2548	81
62	1675	54
63	1449	48
64	1974	57
65	1818	78
66	2110	64
67	1041	40
68	1760	62
69	2767	83
70	2686	58
71	2034	52
72	847	317
73	2185	66
74	101863	75
75	1863	65
76	2847	69
77	2974	197
78	1811	68
79	2320	73
80	1962	75
81	2395	95
82	1831	78
83	2644	92
84	102644	83
85	102102	86
86	2102	94
87	1966	82
88	2758	83
89	2246	86
90	3371	297
91	3301	295
92	2514	98
93	2560	81
94	2030	87
95	2308	102
96	2699	92
97	2132	94
98	2504	101
99	1999	87
100	2258	108
101	2327	95
102	2185	97
103	2760	115
104	2541	98
105	2013	99
106	1931	82
107	2206	113
108	2108	94
109	2352	100
110	2153	108
111	2310	102
112	2351	101
113	2194	102
114	102194	113
115	2660	128
116	2652	118
117	102526	118
118	2526	109
119	2458	125
120	2626	104
121	2287	113
122	2311	111
123	2764	115
124	2841	103
125	2405	122
126	2482	121
127	2407	122
128	2523	125
129	2533	127
130	2533	126
131	101804	132
132	1804	151
133	2825	116
134	2497	127
135	1257	284
136	2911	123
137	2520	134
138	2647	128
139	102647	138
140	102922	141
141	2922	143
142	2593	134
143	2754	145
144	2770	138
145	2555	137
146	1637	148
147	1606	150
148	1533	278
149	1680	146
150	1464	406
151	1665	156
152	1978	132
153	1745	151
154	2170	152
155	101524	156
156	1524	278
157	101524	156
158	101269	280
159	101197	280
160	101370	158
161	1780	149
162	101546	157
163	101685	180
164	101518	327
165	101705	163
166	101672	155
167	2523	172
168	2562	286
169	2596	167
170	101571	157
171	101786	165
172	2326	176
173	2083	175
174	101906	175
175	1906	161
176	2139	178
177	2828	144
178	2038	175
179	2353	185
180	101611	164
181	2040	178
182	102040	181
183	2180	181
184	2520	179
185	2258	183
186	2467	188
187	102361	188
188	2361	289
189	102361	188
190	202361	189
191	102469	189
192	103107	196
193	102391	189
194	2491	188
195	102491	194
196	102933	197
197	2933	387
198	2859	76
199	4627	206
200	2647	361
201	4468	204
202	4643	208
203	4512	201
204	4449	210
205	4696	199
206	4499	210
207	2786	376
208	4632	213
209	2920	290
210	4326	215
211	4218	220
212	4453	215
213	4584	201
214	4637	299
215	4282	223
216	4192	227
217	4125	224
218	4071	230
219	4267	217
220	4149	218
221	4523	226
222	4663	213
223	4271	231
224	4097	234
225	4247	228
226	4385	229
227	4110	233
228	4160	235
229	4356	223
230	3993	234
231	4210	220
232	4356	228
233	4098	240
234	3916	239
235	4125	233
236	4111	234
237	3925	239
238	4347	231
239	3839	264
240	3985	245
241	4592	243
242	4500	350
243	4522	350
244	4122	240
245	3961	239
246	4253	244
247	2909	405
248	4269	357
249	3060	247
250	2884	405
251	3117	263
252	3597	256
253	103287	294
254	3612	252
255	3653	257
256	3503	293
257	3473	297
258	3174	251
259	3026	247
260	3682	255
261	103485	344
262	102970	263
263	2970	250
264	3813	397
265	3231	258
266	423	18
267	100423	266
268	100649	321
269	100578	267
270	100109	272
271	100334	595
272	100087	273
273	87	4
274	121	4
275	1118	45
276	930	313
277	1340	53
278	1368	53
279	1159	45
280	101159	279
281	2733	168
282	101311	159
283	1526	285
284	1242	275
285	1515	406
286	2529	292
287	2850	290
288	3046	209
289	2296	291
290	2832	373
291	2293	183
292	2499	172
293	3393	297
294	103215	295
295	3215	298
296	4718	241
297	3309	91
298	3124	288
299	4587	243
300	3252	302
301	3394	401
302	3154	288
303	519	24
304	100500	305
305	500	6
306	100446	267
307	200446	306
308	100244	309
309	244	274
310	330	6
311	100330	310
312	642	20
313	784	37
314	1552	29
315	101552	314
316	1590	314
317	757	39
318	1009	72
319	2059	71
320	102059	319
321	100480	267
322	1848	324
323	101689	324
324	1689	148
325	2982	141
326	1478	277
327	101478	326
328	1932	161
329	101665	327
330	201665	329
331	201718	332
332	101718	166
333	102474	187
334	202474	333
335	102527	333
336	102493	187
337	2690	377
338	102636	195
339	2769	337
340	3837	260
341	3636	256
342	103636	341
343	4052	237
344	103385	345
345	3385	382
346	2193	110
347	2978	124
348	3875	416
349	103875	348
350	4415	226
351	104415	350
352	102838	84
353	104710	355
354	104260	508
355	104529	356
356	4529	242
357	4220	244
358	4271	248
359	4284	246
360	4340	220
361	2536	194
362	2336	289
363	102336	362
364	202336	363
365	1000000	-1
366	102423	367
367	2423	362
368	3297	370
369	4271	419
370	3266	300
371	3298	302
372	2879	287
373	2735	200
374	2517	367
375	2824	373
376	2652	200
377	2587	361
378	102587	377
379	1000000	-1
380	1000000	-1
381	103351	382
382	3351	295
383	4670	202
384	4912	296
385	101788	390
386	101697	410
387	2778	88
388	65	4
389	100065	388
390	101676	410
391	2679	377
392	101876	390
393	201876	392
394	103690	398
395	203690	394
396	103624	397
397	3624	400
398	103624	397
399	103429	400
400	3429	90
401	3206	302
402	3489	803
403	3409	345
404	100237	270
405	2804	391
406	1406	284
407	100250	425
408	200250	407
409	201553	410
410	101553	411
411	1553	150
412	1684	147
413	4771	489
414	4719	491
415	103722	421
416	3793	341
417	4130	505
418	4784	413
419	4202	417
420	3717	397
421	103717	420
422	103724	415
423	4127	428
424	3913	488
425	100241	404
426	103873	422
427	4230	432
428	3951	488
429	4315	434
430	4099	424
431	4471	429
432	4203	456
433	4446	443
434	4267	430
435	104267	434
436	4831	527
437	104365	435
438	104294	435
439	104197	508
440	4479	515
441	104479	440
442	104356	443
443	4356	434
444	104356	443
445	104606	441
446	104532	444
447	204532	446
448	204445	449
449	104445	485
450	204445	449
451	204363	452
452	104363	439
453	204363	452
454	204003	498
455	104126	456
456	4126	496
457	104126	456
458	204126	457
459	204269	460
460	104269	521
461	204247	462
462	104247	455
463	204247	462
464	303845	539
465	403845	464
466	304267	467
467	204267	463
468	304263	470
469	204406	580
470	304205	471
471	204205	475
472	304205	471
473	404205	472
474	304044	475
475	204044	476
476	104044	497
477	105028	530
478	103781	807
479	203781	478
480	1000000	-1
481	1000000	-1
482	404139	483
483	304139	484
484	204139	475
485	104297	486
486	4297	419
487	4263	419
488	3878	416
489	4731	414
490	4762	414
491	4542	596
492	4463	443
493	103995	494
494	3995	424
495	103959	496
496	3959	428
497	103959	496
498	203959	497
499	204745	577
500	105049	477
501	203837	503
502	203930	540
503	203719	504
504	103719	421
505	4025	494
506	104025	505
507	4139	494
508	104139	507
