50000	147082
Node	Dis	Prev
0	50000000	0
1	50000000	0
2	50000000	0
3	50000000	0
4	50000000	0
5	50000000	0
6	50000000	0
7	50000000	0
8	50000000	0
9	50000000	0
10	50000000	0
11	50000000	0
12	50000000	0
13	50000000	0
14	50000000	0
15	50000000	0
16	50000000	0
17	50000000	0
18	50000000	0
19	50000000	0
20	50000000	0
21	50000000	0
22	50000000	0
23	50000000	0
24	50000000	0
25	50000000	0
26	50000000	0
27	50000000	0
28	50000000	0
29	50000000	0
30	50000000	0
31	50000000	0
32	50000000	0
33	50000000	0
34	50000000	0
35	50000000	0
36	50000000	0
37	50000000	0
38	50000000	0
39	50000000	0
40	50000000	0
41	50000000	0
42	50000000	0
43	50000000	0
44	50000000	0
45	50000000	0
46	50000000	0
47	50000000	0
48	50000000	0
49	50000000	0
50	50000000	0
51	50000000	0
52	50000000	0
53	50000000	0
54	50000000	0
55	50000000	0
56	50000000	0
57	50000000	0
58	50000000	0
59	50000000	0
60	50000000	0
61	50000000	0
62	50000000	0
63	50000000	0
64	50000000	0
65	50000000	0
66	50000000	0
67	50000000	0
68	50000000	0
69	50000000	0
70	50000000	0
71	50000000	0
72	50000000	0
73	50000000	0
74	50000000	0
75	50000000	0
76	50000000	0
77	50000000	0
78	50000000	0
79	50000000	0
80	50000000	0
81	50000000	0
82	50000000	0
83	50000000	0
84	50000000	0
85	50000000	0
86	50000000	0
87	50000000	0
88	50000000	0
89	50000000	0
90	50000000	0
91	50000000	0
92	50000000	0
93	50000000	0
94	50000000	0
95	50000000	0
96	50000000	0
97	50000000	0
98	50000000	0
99	50000000	0
100	50000000	0
101	50000000	0
102	50000000	0
103	50000000	0
104	50000000	0
105	50000000	0
106	50000000	0
107	50000000	0
108	50000000	0
109	50000000	0
110	50000000	0
111	50000000	0
112	50000000	0
113	50000000	0
114	50000000	0
115	50000000	0
116	50000000	0
117	50000000	0
118	50000000	0
119	50000000	0
120	50000000	0
121	50000000	0
122	50000000	0
123	50000000	0
124	50000000	0
125	50000000	0
126	50000000	0
127	50000000	0
128	50000000	0
129	50000000	0
130	50000000	0
131	50000000	0
132	50000000	0
133	50000000	0
134	50000000	0
135	50000000	0
136	50000000	0
137	50000000	0
138	50000000	0
139	50000000	0
140	50000000	0
141	50000000	0
142	50000000	0
143	50000000	0
144	50000000	0
145	50000000	0
146	50000000	0
147	50000000	0
148	50000000	0
149	50000000	0
150	50000000	0
151	50000000	0
152	50000000	0
153	50000000	0
154	50000000	0
155	50000000	0
156	50000000	0
157	50000000	0
158	50000000	0
159	50000000	0
160	50000000	0
161	50000000	0
162	50000000	0
163	50000000	0
164	50000000	0
165	50000000	0
166	50000000	0
167	50000000	0
168	50000000	0
169	50000000	0
170	50000000	0
171	50000000	0
172	50000000	0
173	50000000	0
174	50000000	0
175	50000000	0
